Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
4/18/2023,Pleasanton,CA,Blake Mohs (26) fatally shot by shoplifter.,1664547,State,No
4/17/2023,Terre Haute,IN,Joseph Drivinski (66) died in fall down basement stairs.,1663962,State,No
4/12/2023,Jersey Village,TX,Curtis Pounds (65) died in fall from roof.,1663483,Federal,Yes
4/10/2023,Park City,UT,Jose Figueroa (49) died in fall from roof.,1662615,State,No
4/6/2023,Loveland,CO,Austin Cullon (27) fatally struck by car.,1661976,Federal,No
4/6/2023,Stockton,CA,Arturo Padilla Jr. (31) fatally struck by car.,1661992,State,No
4/2/2023,Greensboro,NC,Luis Ventura (48) fatally injured in fall from ladder.,1664138,State,No
3/29/2023,Muscoda,WI,Joe Abitz (54) fatally struck by machine part.,1660929,Federal,No
3/16/2023,South Jordan,UT,Larry Bowen (70) died in fall into foundation excavation.,1657280,State,No
3/15/2023,Miami,FL,Abdel Assaf (55) died in fall from ladder.,1657834,Federal,No
3/12/2023,Clayton,OH,Shaunn Monroe (42) fatally stabbed by coworker.,1656109,Federal,Yes
3/6/2023,West Terre Haute,IN,Michael Jones (27) electrocuted by power line while trimming tree.,1654745,State,Yes
3/1/2023,Gaffney,SC,Myra Davidson (47) fatally shot by coworker.,1654678,State,No
3/1/2023,Grand Forks,ND,Patricia Fish (72) worker died of injuries suffered in a fall.,1669355,Federal,No
2/24/2023,Graham,TX,Mark Blackwell (65) and Roy Voss (65) electrocuted by power lines while trimming trees.,1654444,Federal,Yes
2/18/2023,Glendale,AZ,Shawn Lee (44) fatally injured when lanyard became caught by moving UTV.,1653075,State,Yes
2/17/2023,Pensacola,FL,Huu Van Le (49) fatally burned while welding.,1642146,Federal,Yes
2/14/2023,New Shoreham,RI,Jorge Bran Dimas (31) died in fall from ladder.,1651256,Federal,Yes
2/14/2023,Victorville,CA,Robert Velasquez (59) died in fall from ladder.,1650962,State,No
2/13/2023,Fort Wayne,IN,Todd Ort (54) fatally struck by dump truck.,1650347,State,No
2/7/2023,Friendship,ME,Jhon Diego Torres (31) electrocuted by contact with high voltage power line.,1649195,Federal,Yes
2/6/2023,Bronx,NY,Victor Peele (57) died of drug overdose.,1649252,Federal,No
1/31/2023,Platina,CA,Jakob Stockton (21) fatally crushed under vehicle that slipped off jack.,1647764,State,No
1/30/2023,Albany,OR,Bradley Freeman (34) died in vehicle collision.,1657495,State,No
1/30/2023,Nashville,TN,Marvin Ajanel (35) fatally struck by falling panel.,1648501,State,Yes
1/30/2023,Sarasota,FL,Juan Reynoso (41) died in fall from roof.,1647099,Federal,No
1/26/2023,Greenville,NC,Christopher Stutzman (55) died in fall from ladder.,1648448,State,Yes
1/25/2023,Temple,TX,Micheal Powell (26) fatally shot by coworker.,1646049,Federal,No
1/23/2023,Colton,CA,Heriberto Lopez Campos (41) fatally struck by falling boxes.,1645575,State,No
1/22/2023,Houston,TX,Jose Ramirez (38) died in fall from top of powder coating booth.,1645810,Federal,No
1/20/2023,Denton,TX,Juan Moya (62) died in fall from tree.,1646800,Federal,No
1/19/2023,Vernal,UT,Raymond Rowland Brown Jr. (46) fatally crushed by loader boom.,1645572,State,No
1/18/2023,Opp,AL,Michael Jackson Wise (45) fatally struck when tire exploded.,1644420,Federal,Yes
1/16/2023,Hummelstown,PA,Alexander Hobson (25) fatally struck by falling tree.,1643941,Federal,Yes
1/16/2023,Shiloh,IL,Thomas Orf (59) died in fall from ladder after receiving electrical shock.,1644934,Federal,Yes
1/13/2023,Houston,TX,Jose Bonilla Carcamo (45) died in fall through skylight.,1644110,Federal,Yes
1/13/2023,Monticello,GA,Jesse Maxwell (32) fatally struck by tree.,1643853,Federal,No
1/12/2023,Chicago,IL,Pedro Santiago-Mateo (35) fatally injured in wall collapse.,1643576,Federal,Yes
1/12/2023,Oshkosh,WI,Stanley Meyers Jr. (55) fatally struck by rubber roller.,1643322,Federal,Yes
1/11/2023,Chicago,IL,Frank Barnes (64) died in fall from roof.,1643568,Federal,Yes
1/11/2023,Clarksboro,NJ,Steve Callaghan (58) suffered fatal head injury while changing oil underneath vehicle.,1659594,Federal,No
1/10/2023,Bryan,TX,Michael Grey (21) died in vehicle collision.,1643604,Federal,No
1/10/2023,Springfield,OH,William Skeens (63) fatally injured by lathe.,1643112,Federal,Yes
1/9/2023,Bandera,TX,Francisco Vasquez-Lopez (24) fatally injured when tractor rolled down incline.,1642928,Federal,Yes
